Name,DoB,Age,Height,Weight,BMI,Reach,HR_Ratio,Style,City,Country,From,Trains
Yushin Okami,1981-07-21,37,74,170,21.824324324324326,75.0,1.0135135135135136,Southpaw,Kawasaki,JPN,"Kawasaki, JPN","Kawasaki, JPN"
Edson Barboza,1986-01-21,32,71,155,21.61575084308669,75.0,1.056338028169014,Orthodox,Nova Friburgo,BRA,"Nova Friburgo, BRA","Nova Friburgo, RJ"
Alex Caceres,1988-06-20,30,70,145,20.803061224489795,73.5,1.05,Southpaw,Miami,FL,"Miami, FL","Miami, FL"
Chris Camozzi,1986-11-20,32,74,185,23.75,76.5,1.0337837837837838,Orthodox,Lakewood,CO,"Lakewood, CO","Lakewood, CO"
CB Dollaway,1983-08-10,35,74,185,23.75,76.0,1.027027027027027,Orthodox,Tempe,AZ,"Tempe, AZ","Tempe, AZ"
Darren Elkins,1984-05-16,34,70,145,20.803061224489795,71.0,1.0142857142857142,Orthodox,Portage,IN,"Portage, IN","Portage, IN"
Max Holloway,1991-12-04,27,71,145,20.221186272564967,69.0,0.9718309859154929,Orthodox,Waianae,HI,"Waianae, HI","Waianae, HI"
Jon Jones,1987-07-19,31,76,205,24.95065789473684,84.5,1.111842105263158,Orthodox,Endicott,NY,"Endicott, NY","Endicott, NY"
Dong Hyun Kim,1981-11-17,37,74,170,21.824324324324326,76.0,1.027027027027027,Southpaw,Busan,KOR,"Busan, KOR","Busan, KOR"
Robbie Lawler,1982-03-20,36,71,170,23.70759769886927,74.0,1.0422535211267605,Southpaw,Coconut Creek,FL,"Coconut Creek, FL","Coconut Creek, FL"
Gray Maynard,1979-05-09,39,69,155,22.88699852972065,70.0,1.0144927536231885,Orthodox,Las Vegas,NV,"Las Vegas, NV","Las Vegas, NV"
Mark Hunt,1974-03-23,44,70,265,38.019387755102045,72.0,1.0285714285714285,Orthodox,Sydney,AUS,"Sydney, AUS","Sydney, NSW"
Roy Nelson,1976-06-20,42,72,263,35.665316358024704,72.0,1.0,Orthodox,Las Vegas,NV,"Las Vegas, NV","Las Vegas, NV"
Mike Pyle,1975-09-18,43,72,170,23.053626543209877,74.0,1.0277777777777777,Orthodox,Las Vegas,NV,"Las Vegas, NV","Las Vegas, NV"
Tim Means,1984-02-20,34,74,170,21.824324324324326,75.0,1.0135135135135136,Orthodox,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Iuri Alcantara,1980-08-04,38,69,135,19.93383742911153,71.0,1.0289855072463767,Southpaw,Soure,BRA,"Soure, BRA","Soure, PA"
Junior Dos Santos,1984-01-30,34,76,238,28.967105263157894,77.0,1.013157894736842,Orthodox,Salvador,BRA,"Salvador, BRA","Salvador, BA"
Demetrious Johnson,1986-08-13,32,63,125,22.140337616528093,66.0,1.0476190476190477,Orthodox,Parkland,WA,"Parkland, WA","Parkland, WA"
Ovince Saint Preux,1983-04-08,35,75,205,25.620444444444445,80.0,1.0666666666666669,Southpaw,Knoxville,TN,"Knoxville, TN","Knoxville, TN"
Francisco Trinaldo,1978-08-24,40,69,155,22.88699852972065,70.0,1.0144927536231885,Southpaw,Brasilia,BRA,"Brasilia, BRA","Brasilia, DF"
Ben Saunders,1983-04-13,35,74,170,21.824324324324326,77.5,1.0472972972972974,Orthodox,Orlando,FL,"Orlando, FL","Orlando, FL"
Joseph Benavidez,1984-07-31,34,64,125,21.453857421875,65.0,1.015625,Southpaw,Las Cruces,NM,"Las Cruces, NM","Las Cruces, NM"
Travis Browne,1982-07-17,36,78,255,29.464990138067066,79.0,1.0128205128205128,Orthodox,San Diego,CA,"San Diego, CA","San Diego, CA"
TJ Dillashaw,1986-02-07,32,66,135,21.787190082644628,67.0,1.0151515151515151,Orthodox,Angels Camp,CA,"Angels Camp, CA","Angels Camp, CA"
Rafael Natal,1982-12-25,36,72,185,25.087770061728396,76.0,1.0555555555555556,Orthodox,Belo Horizonte,BRA,"Belo Horizonte, BRA","Belo Horizonte, MG"
Thiago Santos,1984-01-07,34,74,205,26.317567567567572,76.0,1.027027027027027,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Brad Tavares,1987-12-21,31,73,185,24.405141677613067,74.0,1.0136986301369864,Orthodox,Kailua,HI,"Kailua, HI","Kailua, HI"
Glover Teixeira,1979-10-28,39,74,205,26.317567567567572,76.0,1.027027027027027,Orthodox,Danbury,CT,"Danbury, CT","Danbury, CT"
Sam Alvey,1986-05-06,32,74,205,26.317567567567572,75.5,1.0202702702702702,Southpaw,Temecula,CA,"Temecula, CA","Temecula, CA"
Renan Barao,1987-01-31,31,66,135,21.787190082644628,70.0,1.0606060606060606,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Dennis Bermudez,1986-12-13,32,66,145,23.401056014692372,66.0,1.0,Orthodox,Lindenhurst,NY,"Lindenhurst, NY","Lindenhurst, NY"
Carlos Condit,1984-04-26,34,74,170,21.824324324324326,75.5,1.0202702702702702,Orthodox,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Tony Ferguson,1984-02-12,34,71,155,21.61575084308669,76.5,1.0774647887323945,Orthodox,Orange County,CA,"Orange County, CA","Orange County, CA"
Kelvin Gastelum,1991-10-24,27,69,185,27.316740180634323,71.5,1.036231884057971,Southpaw,Huntington Beach,CA,"Huntington Beach, CA","Huntington Beach, CA"
Bobby Green,1986-09-09,32,70,155,22.23775510204081,71.0,1.0142857142857142,Orthodox,Fontana,CA,"Fontana, CA","Fontana, CA"
Alexander Gustafsson,1987-01-15,31,77,205,24.30679709900489,79.0,1.025974025974026,Orthodox,Stockholm,SWE,"Stockholm, SWE","Stockholm, SWE"
Derrick Lewis,1985-02-07,33,75,260,32.49422222222222,79.0,1.0533333333333332,Orthodox,Houston,TX,"Houston, TX","Houston, TX"
John Lineker,1990-06-12,28,63,135,23.911564625850342,67.0,1.0634920634920637,Orthodox,Paranagua,BRA,"Paranagua, BRA","Paranagua, PR"
John Makdessi,1985-05-03,33,68,155,23.565095155709344,68.0,1.0,Orthodox,Montreal,PQ,"Montreal, PQ","Montreal, PQ"
Jorge Masvidal,1984-11-12,34,71,170,23.70759769886927,74.0,1.0422535211267605,Orthodox,Miami,FL,"Miami, FL","Miami, FL"
Anthony Pettis,1987-01-27,31,70,155,22.23775510204081,72.5,1.0357142857142858,Orthodox,Milwaukee,WI,"Milwaukee, WI","Milwaukee, WI"
Cub Swanson,1983-11-02,35,68,145,22.044766435986162,70.0,1.0294117647058822,Orthodox,Palm Springs,CA,"Palm Springs, CA","Palm Springs, CA"
Fabricio Werdum,1977-07-30,41,76,231,28.115131578947373,77.0,1.013157894736842,Orthodox,Porto Alegre,BRA,"Porto Alegre, BRA","Porto Alegre, RS"
Matt Wiman,1983-09-19,35,70,155,22.23775510204081,68.0,0.9714285714285714,Orthodox,Portland,OR,"Portland, OR","Portland, OR"
Rani Yahya,1984-09-12,34,66,135,21.787190082644628,67.0,1.0151515151515151,Orthodox,Brasilia,BRA,"Brasilia, BRA","Brasilia, DF"
Derek Brunson,1984-01-04,34,73,185,24.405141677613067,77.0,1.0547945205479452,Southpaw,Wilmington,NC,"Wilmington, NC","Wilmington, NC"
Beneil Dariush,1989-05-06,29,70,155,22.23775510204081,72.0,1.0285714285714285,Southpaw,Yorba Linda,CA,"Yorba Linda, CA","Yorba Linda, CA"
Ricardo Lamas,1982-05-21,36,68,145,22.044766435986162,71.0,1.0441176470588236,Orthodox,Chicago,IL,"Chicago, IL","Chicago, IL"
Yancy Medeiros,1987-09-07,31,70,170,24.38979591836735,75.5,1.0785714285714283,Orthodox,Makaha,HI,"Makaha, HI","Makaha, HI"
Stipe Miocic,1982-08-19,36,76,240,29.210526315789476,80.0,1.0526315789473684,Orthodox,Independence,OH,"Independence, OH","Independence, OH"
John Moraga,1984-03-20,34,66,125,20.17332415059688,66.0,1.0,Orthodox,Phoenix,AZ,"Phoenix, AZ","Phoenix, AZ"
Alistair Overeem,1980-05-17,38,76,265,32.25328947368421,80.0,1.0526315789473684,Orthodox,Amsterdam,NLD,"Amsterdam, NLD","Amsterdam, NLD"
Erick Silva,1984-06-21,34,72,170,23.053626543209877,74.0,1.0277777777777777,Orthodox,Vila Velha,BRA,"Vila Velha, BRA","Vila Velha, ES"
Cain Velasquez,1982-07-28,36,73,240,31.660724338525053,77.0,1.0547945205479452,Orthodox,San Jose,CA,"San Jose, CA","San Jose, CA"
Chris Weidman,1984-06-17,34,74,185,23.75,78.0,1.054054054054054,Orthodox,Baldwin,NY,"Baldwin, NY","Baldwin, NY"
Robert Whittaker,1990-12-20,28,72,185,25.087770061728396,73.5,1.0208333333333333,Orthodox,Sydney,AUS,"Sydney, AUS","Sydney, NSW"
Jose Aldo,1986-09-09,32,67,145,22.707730006683008,70.0,1.044776119402985,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Jessica Andrade,1991-09-25,27,61,115,21.726686374630475,62.0,1.0163934426229508,Orthodox,Niteroi,BRA,"Niteroi, BRA","Niteroi, RJ"
Raphael Assuncao,1982-07-19,36,65,135,22.46272189349112,66.5,1.023076923076923,Orthodox,Recife,BRA,"Recife, BRA","Recife, PE"
Daniel Cormier,1979-03-20,39,71,235,32.772267407260465,72.5,1.0211267605633805,Orthodox,San Jose,CA,"San Jose, CA","San Jose, CA"
Patrick Cummins,1980-11-16,38,74,205,26.317567567567572,76.5,1.0337837837837838,Orthodox,San Diego,CA,"San Diego, CA","San Diego, CA"
John Dodson,1984-09-26,34,63,135,23.911564625850342,66.0,1.0476190476190477,Orthodox,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Cezar Ferreira,1985-02-15,33,73,185,24.405141677613067,78.5,1.0753424657534247,Southpaw,Ibitinga,BRA,"Ibitinga, BRA","Ibitinga, SP"
Andre Fili,1990-06-25,28,71,145,20.221186272564967,74.0,1.0422535211267605,Orthodox,Sacramento,CA,"Sacramento, CA","Sacramento, CA"
Uriah Hall,1984-07-31,34,72,185,25.087770061728396,79.5,1.1041666666666667,Orthodox,Queens,NY,"Queens, NY","Queens, NY"
Al Iaquinta,1987-04-30,31,69,155,22.88699852972065,70.0,1.0144927536231885,Orthodox,Wantagh,NY,"Wantagh, NY","Wantagh, NY"
Rustam Khabilov,1986-11-04,32,68,155,23.565095155709344,73.0,1.0735294117647058,Orthodox,Derbent,RUS,"Derbent, RUS","Derbent, RUS"
Kevin Lee,1992-09-04,26,69,155,22.88699852972065,77.0,1.115942028985507,Orthodox,Detroit,MI,"Detroit, MI","Detroit, MI"
Hector Lombard,1978-02-02,40,69,185,27.316740180634323,71.0,1.0289855072463767,Southpaw,Matanzas,CUB,"Matanzas, CUB","Matanzas, CUB"
Court McGee,1984-12-12,34,71,170,23.70759769886927,75.5,1.0633802816901408,Orthodox,Orem,UT,"Orem, UT","Orem, UT"
Chad Mendes,1985-05-01,33,66,145,23.401056014692372,66.0,1.0,Orthodox,Sacramento,CA,"Sacramento, CA","Sacramento, CA"
Sergio Pettis,1993-08-18,25,66,135,21.787190082644628,69.0,1.0454545454545454,Orthodox,Milwaukee,WI,"Milwaukee, WI","Milwaukee, WI"
Trevor Smith,1981-01-05,37,75,185,23.12088888888889,75.0,1.0,Orthodox,Tukwila,WA,"Tukwila, WA","Tukwila, WA"
Abel Trujillo,1983-09-18,35,68,155,23.565095155709344,70.0,1.0294117647058822,Orthodox,Boca Raton,FL,"Boca Raton, FL","Boca Raton, FL"
Gian Villante,1985-08-18,33,75,205,25.620444444444445,76.0,1.0133333333333334,Orthodox,Bellmore,NY,"Bellmore, NY","Bellmore, NY"
Nick Diaz,1983-08-02,35,73,185,24.405141677613067,76.0,1.0410958904109588,Southpaw,Stockton,CA,"Stockton, CA","Stockton, CA"
Alex Oliveira,1988-02-21,30,71,170,23.70759769886927,76.5,1.0774647887323945,Orthodox,Tres Rios,BRA,"Tres Rios, BRA","Tres Rios, RJ"
Felipe Arantes,1988-02-09,30,68,135,20.524437716262977,73.0,1.0735294117647058,Orthodox,Sao Paulo,BRA,"Sao Paulo, BRA","Sao Paulo, SP"
Michael Chiesa,1987-12-07,31,73,170,22.426346406455245,75.5,1.0342465753424657,Southpaw,Spokane Valley,WA,"Spokane Valley, WA","Spokane Valley, WA"
Jussier Formiga,1985-04-14,33,65,125,20.798816568047336,67.0,1.0307692307692309,Orthodox,Natal,BRA,"Natal, BRA","Natal, RN"
Takanori Gomi,1978-09-22,40,67,155,24.27378035197148,70.0,1.044776119402985,Southpaw,Tokyo,JPN,"Tokyo, JPN","Tokyo, JPN"
Myles Jury,1988-10-31,30,70,145,20.803061224489795,73.0,1.042857142857143,Orthodox,Hazel Park,MI,"Hazel Park, MI","Hazel Park, MI"
Erik Koch,1988-10-04,30,70,155,22.23775510204081,71.5,1.0214285714285714,Southpaw,Milwaukee,WI,"Milwaukee, WI","Milwaukee, WI"
Jimi Manuwa,1980-02-18,38,73,205,27.043535372490147,79.5,1.0890410958904109,Orthodox,London,GBR,"London, GBR","London, GBR"
Gunnar Nelson,1988-07-28,30,71,170,23.70759769886927,72.0,1.0140845070422535,Switch,Reykjavik,ISL,"Reykjavik, ISL","Reykjavik, ISL"
Khabib Nurmagomedov,1988-09-20,30,70,155,22.23775510204081,70.0,1.0,Orthodox,Makhachkala,RUS,"Makhachkala, RUS","Makhachkala, RUS"
Dustin Ortiz,1988-12-25,30,65,125,20.798816568047336,65.0,1.0,Orthodox,Franklin,TN,"Franklin, TN","Franklin, TN"
Igor Pokrajac,1979-01-02,39,72,205,27.79996141975309,76.0,1.0555555555555556,Orthodox,Zagreb,HRV,"Zagreb, HRV","Zagreb, HRV"
Santiago Ponzinibbio,1986-09-26,32,72,170,23.053626543209877,73.0,1.0138888888888888,Orthodox,Coconut Creek,FL,"Coconut Creek, FL","Coconut Creek, FL"
Jacare Souza,1979-12-07,39,73,185,24.405141677613067,72.0,0.9863013698630136,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Stephen Thompson,1983-02-11,35,72,170,23.053626543209877,75.0,1.0416666666666667,Orthodox,Simpsonville,SC,"Simpsonville, SC","Simpsonville, SC"
Corey Anderson,1989-09-22,29,75,205,25.620444444444445,79.0,1.0533333333333332,Orthodox,Rockton,IL,"Rockton, IL","Rockton, IL"
Paul Felder,1984-04-25,34,71,170,23.70759769886927,70.5,0.9929577464788732,Orthodox,Philadelphia,PA,"Philadelphia, PA","Philadelphia, PA"
Krzysztof Jotko,1989-08-19,29,73,185,24.405141677613067,77.0,1.0547945205479452,Southpaw,Orneta,POL,"Orneta, POL","Orneta, POL"
Ryan LaFlare,1983-10-01,35,73,170,22.426346406455245,74.0,1.0136986301369864,Southpaw,Farmingdale,NY,"Farmingdale, NY","Farmingdale, NY"
Ilir Latifi,1983-07-28,35,70,205,29.411224489795924,73.5,1.05,Orthodox,Malmo,SWE,"Malmo, SWE","Malmo, SWE"
Tom Lawlor,1983-05-15,35,72,205,27.79996141975309,74.0,1.0277777777777777,Southpaw,Las Vegas,NV,"Las Vegas, NV","Las Vegas, NV"
Anthony Rocco Martin,1989-12-11,29,72,170,23.053626543209877,73.5,1.0208333333333333,Orthodox,Coconut Creek,FL,"Coconut Creek, FL","Coconut Creek, FL"
Sergio Moraes,1982-07-23,36,72,170,23.053626543209877,72.0,1.0,Orthodox,Curitiba,BRA,"Curitiba, BRA","Curitiba, PR"
Michel Prazeres,1981-07-25,37,66,170,27.435720844811755,67.5,1.0227272727272727,Orthodox,Belem,BRA,"Belem, BRA","Belem, PA"
Wilson Reis,1985-01-06,33,64,125,21.453857421875,65.0,1.015625,Southpaw,Sao Paulo,BRA,"Sao Paulo, BRA","Sao Paulo, SP"
Yoel Romero,1977-04-30,41,72,185,25.087770061728396,73.5,1.0208333333333333,Southpaw,Pinar del Rio,CUB,"Pinar del Rio, CUB","Pinar del Rio, CUB"
Aljamain Sterling,1989-07-31,29,67,135,21.14167966139452,71.0,1.0597014925373134,Orthodox,Uniondale,NY,"Uniondale, NY","Uniondale, NY"
James Vick,1987-02-23,31,75,155,19.37155555555556,76.0,1.0133333333333334,Orthodox,Fort Worth,TX,"Fort Worth, TX","Fort Worth, TX"
Eddie Wineland,1984-06-26,34,67,135,21.14167966139452,69.0,1.0298507462686568,Orthodox,Chesterton,IN,"Chesterton, IN","Chesterton, IN"
Tyron Woodley,1982-04-07,36,69,170,25.101869355177485,74.0,1.072463768115942,Orthodox,St. Louis,MO,"St. Louis, MO","St. Louis, MO"
Jake Matthews,1994-08-19,24,71,170,23.70759769886927,73.0,1.028169014084507,Orthodox,Epping,AUS,"Epping, AUS","Epping, VIC"
Joanna Jedrzejczyk,1987-08-18,31,66,125,20.17332415059688,65.5,0.9924242424242424,Orthodox,Olsztyn,POL,"Olsztyn, POL","Olsztyn, POL"
Alan Jouban,1981-11-25,37,72,170,23.053626543209877,73.5,1.0208333333333333,Southpaw,Lafayette,LA,"Lafayette, LA","Lafayette, LA"
Jan Blachowicz,1983-02-24,35,74,205,26.317567567567572,78.0,1.054054054054054,Orthodox,Warsaw,POL,"Warsaw, POL","Warsaw, POL"
Bryan Caraway,1984-08-04,34,68,135,20.524437716262977,68.0,1.0,Orthodox,Las Vegas,NV,"Las Vegas, NV","Las Vegas, NV"
Liz Carmouche,1984-02-19,34,66,125,20.17332415059688,66.0,1.0,Orthodox,San Diego,CA,"San Diego, CA","San Diego, CA"
Drew Dober,1988-10-19,30,68,170,25.845588235294123,70.0,1.0294117647058822,Southpaw,Omaha,NE,"Omaha, NE","Omaha, NE"
Jessica Eye,1986-07-27,32,66,125,20.17332415059688,66.0,1.0,Orthodox,Cleveland,OH,"Cleveland, OH","Cleveland, OH"
Alex Garcia,1987-07-14,31,69,170,25.101869355177485,72.0,1.0434782608695652,Orthodox,Santiago,DOM,"Santiago, DOM","Santiago, DOM"
Walt Harris,1983-06-10,35,77,250,29.642435486591328,77.0,1.0,Southpaw,Birmingham,AL,"Birmingham, AL","Birmingham, AL"
James Krause,1986-06-04,32,74,170,21.824324324324326,73.5,0.9932432432432432,Orthodox,Lee's Summit,MO,"Lee's Summit, MO","Lee's Summit, MO"
Conor McGregor,1988-07-14,30,69,155,22.88699852972065,74.0,1.072463768115942,Southpaw,Dublin,IRL,"Dublin, IRL","Dublin, IRL"
Pedro Munhoz,1986-09-07,32,66,135,21.787190082644628,64.5,0.9772727272727272,Orthodox,Sao Paulo,BRA,"Sao Paulo, BRA","Sao Paulo, SP"
Amanda Nunes,1988-05-30,30,68,145,22.044766435986162,69.0,1.0147058823529411,Orthodox,Salvador,BRA,"Salvador, BRA","Salvador, BA"
Godofredo Pepey,1987-07-02,31,67,145,22.707730006683008,73.5,1.0970149253731345,Orthodox,Fortaleza,BRA,"Fortaleza, BRA","Fortaleza, CE"
Ben Rothwell,1981-10-17,37,76,265,32.25328947368421,78.5,1.0328947368421053,Orthodox,Kenosha,WI,"Kenosha, WI","Kenosha, WI"
Louis Smolka,1991-07-16,27,69,125,18.457256878806973,68.5,0.9927536231884058,Orthodox,Kapolei,HI,"Kapolei, HI","Kapolei, HI"
Peter Sobotta,1987-01-11,31,72,170,23.053626543209877,75.0,1.0416666666666667,Southpaw,Balingen,DEU,"Balingen, DEU","Balingen, BW"
Olivier Aubin-Mercier,1989-02-23,29,69,155,22.88699852972065,70.5,1.0217391304347827,Southpaw,Montreal,PQ,"Montreal, PQ","Montreal, PQ"
Nordine Taleb,1981-06-10,37,73,170,22.426346406455245,74.5,1.0205479452054795,Orthodox,Montreal,PQ,"Montreal, PQ","Montreal, PQ"
Antonio Carlos Junior,1990-03-16,28,74,185,23.75,79.0,1.0675675675675675,Orthodox,Joao Pessoa,BRA,"Joao Pessoa, BRA","Joao Pessoa, PB"
Anthony Hamilton,1980-04-14,38,77,260,30.828132906054982,76.0,0.987012987012987,Orthodox,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Dan Hooker,1990-02-13,28,72,155,21.01948302469136,75.0,1.0416666666666667,Switch,Auckland,NZL,"Auckland, NZL","Auckland, NZL"
Bryan Barberena,1989-05-03,29,72,170,23.053626543209877,72.5,1.0069444444444444,Southpaw,Glendale,AZ,"Glendale, AZ","Glendale, AZ"
Gilbert Burns,1986-07-20,32,70,155,22.23775510204081,71.0,1.0142857142857142,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Omari Akhmedov,1987-10-12,31,72,185,25.087770061728396,73.0,1.0138888888888888,Orthodox,Makhachkala,RUS,"Makhachkala, RUS","Makhachkala, RUS"
Josh Barnett,1977-11-10,41,75,250,31.24444444444445,78.0,1.04,Orthodox,Fullerton,CA,"Fullerton, CA","Fullerton, CA"
Zak Cummings,1984-08-02,34,72,185,25.087770061728396,75.0,1.0416666666666667,Southpaw,Kansas City,MO,"Kansas City, MO","Kansas City, MO"
Dan Hardy,1982-05-17,36,72,170,23.053626543209877,74.0,1.0277777777777777,Orthodox,Nottingham,GBR,"Nottingham, GBR","Nottingham, GBR"
John Hathaway,1987-07-23,31,73,170,22.426346406455245,75.5,1.0342465753424657,Orthodox,Brighton,GBR,"Brighton, GBR","Brighton, GBR"
Nikita Krylov,1992-03-07,26,75,205,25.620444444444445,77.5,1.0333333333333334,Orthodox,Donetsk,UKR,"Donetsk, UKR","Donetsk, UKR"
Sara McMann,1980-09-24,38,66,135,21.787190082644628,66.0,1.0,Orthodox,Sacramento,CA,"Sacramento, CA","Sacramento, CA"
Daniel Omielanczuk,1982-08-31,36,72,247,33.495563271604944,74.0,1.0277777777777777,Southpaw,Warsaw,POL,"Warsaw, POL","Warsaw, POL"
Raquel Pennington,1988-09-05,30,67,135,21.14167966139452,67.5,1.007462686567164,Orthodox,Colorado Springs,CO,"Colorado Springs, CO","Colorado Springs, CO"
Luke Rockhold,1984-10-17,34,75,185,23.12088888888889,77.0,1.0266666666666666,Southpaw,Santa Cruz,CA,"Santa Cruz, CA","Santa Cruz, CA"
